Pedido,Fecha de compra,Fecha llegada,Tiempo en llegar,Fecha de venta,equipo,deporte,version,temporada,liga,Jugador,Talla,Proveedor,Costo,Costo de envio,Costo total,Venta,Ganancia,
1,6/12/2025,7/3/2025,21,7/15/2025,FC Barcelona,Futbol,Local,2025/2026,Europa,Sin nombre,M,Alibaba,10,5,15,26.87,11.87,
1,6/12/2025,7/3/2025,21,7/10/2025,Real Madrid,Futbol,Local,2025/2026,Europa,Sin nombre,M,Alibaba,10.5,6,16.5,26.87,10.37,
1,6/12/2025,7/3/2025,21,7/8/2025,FC Barcelona,Futbol,Local,2025/2026,Europa,Sin nombre,XL,Alibaba,10.5,6,16.5,29.55,13.05,
1,6/12/2025,7/3/2025,21,7/7/2025,Real Madrid,Futbol,Local,2025/2026,Europa,MBAPPE,L,Alibaba,10.5,6,16.5,37.6,21.1,
1,6/12/2025,7/3/2025,21,7/6/2025,FC Barcelona,Futbol,Local,2025/2026,Europa,MBAPPE,L,Alibaba,10.5,6,16.5,37.57,21.07,
1,6/12/2025,7/3/2025,21,7/5/2025,Real Madrid,Futbol,Local,2025/2026,Europa,MBAPPE,XL,Alibaba,10.5,6,16.5,32.2,15.7,
1,6/12/2025,7/3/2025,21,7/3/2025,FC Barcelona,Futbol,Local,2025/2026,Europa,MBAPPE,L,Alibaba,11,6,17,48.19,31.19,
1,6/12/2025,7/3/2025,21,7/3/2025,FC Barcelona,Futbol,Local,2025/2026,Europa,MBAPPE,L,Alibaba,11,6,17,48.19,31.19,
1,6/12/2025,7/3/2025,21,7/3/2025,Real Madrid,Futbol,Local,2025/2026,Europa,MBAPPE,L,Alibaba,10.5,6,16.5,40,23.5,
1,6/12/2025,7/3/2025,21,,Real Madrid,Futbol,Local,2025/2026,Europa,VINI JR,L,Alibaba,11,6,17,,-17,
2,7/2/2025,7/22/2025,20,11/6/2025,FC Barcelona,Futbol,Local,2025/2026,Europa,LAMINE YAMAL,L,Alibaba,11,6,17,29.58,12.58,
2,7/2/2025,7/22/2025,20,9/3/2025,FC Barcelona,Futbol,Local,2025/2026,Europa,LAMINE YAMAL,XL,Alibaba,11,6,17,32.2,15.2,
2,7/2/2025,7/22/2025,20,8/6/2025,FC Barcelona,Futbol,Local,2025/2026,Europa,LAMINE YAMAL,L,Alibaba,10.5,6,17,32.25,15.25,
2,7/2/2025,7/22/2025,20,8/4/2025,FC Barcelona,Futbol,Local,2025/2026,Europa,LAMINE YAMAL,L,Alibaba,10.5,6,16.5,32.25,15.75,
2,7/2/2025,7/22/2025,20,7/24/2025,FC Barcelona,Futbol,Local,2025/2026,Europa,LAMINE YAMAL,M,Alibaba,11,6,16.5,37.63,21.13,
3,7/11/2025,8/12/2025,32,12/1/2025,FC Barcelona,Futbol,Local,2025/2026,Europa,Pedri,L,Alibaba,9,5.92,16.42,30.05,13.63,
3,7/11/2025,8/12/2025,32,11/19/2025,Monterrey,Futbol,Especial,2025/2026,LigaMx,Sergio Ramos,XL,Alibaba,11,5.92,14.92,32.69,17.77,
