Pedido,Fecha de compra,Fecha llegada, Costo , Costo de envio , Costo total ,Modelo,Jugador,Talla,Fecha de venta,Venta,Ganancia,,,,,
1,6/12/2025,7/3/2025, $10.00 , $5.00 , $15.00 ,FC Barcelona 25-26 Version jugador,,M,7/15/2025, $26.87 , $11.87 ,,,,,
1,6/12/2025,7/3/2025, $10.50 , $6.00 , $16.50 ,Real Madrid 25-26 Version jugador,,M,7/10/2025, $26.87 , $10.37 ,,,,,
1,6/12/2025,7/3/2025, $10.50 , $6.00 , $16.50 ,FC Barcelona 25-26 Version jugador,,XL,7/8/2025, $29.55 , $13.05 ,,,,,
1,6/12/2025,7/3/2025, $10.50 , $6.00 , $16.50 ,Real Madrid 25-26 Version jugador,MBAPPE,L,7/7/2025, $37.60 , $21.10 ,,Total jerseys,191,,
1,6/12/2025,7/3/2025, $10.50 , $6.00 , $16.50 ,FC Barcelona 25-26 Version jugador,PEDRI,L,7/6/2025, $37.57 , $21.07 ,,Jersey Vedidas,164,,
1,6/12/2025,7/3/2025, $10.50 , $6.00 , $16.50 ,Real Madrid 25-26 Version jugador,,XL,7/5/2025, $32.20 , $15.70 ,,Jersey disponible,27,,
1,6/12/2025,7/3/2025, $11.00 , $6.00 , $17.00 ,FC Barcelona 25-26 Version jugador,LAMINE YAMAL,L,7/3/2025, $48.19 , $31.19 ,,Total Costo,"$2,877.49",,
1,6/12/2025,7/3/2025, $11.00 , $6.00 , $17.00 ,FC Barcelona 25-26 Version jugador,LAMINE YAMAL,L,7/3/2025, $48.19 , $31.19 ,,Total venta," $5,246.07 ",,
1,6/12/2025,7/3/2025, $10.50 , $6.00 , $16.50 ,Real Madrid 25-26 Version jugador,MBAPPE,L,7/3/2025, $40.00 , $23.50 ,,Ganancia," $2,368.58 ",,
1,6/12/2025,7/3/2025, $11.00 , $6.00 , $17.00 ,Real Madrid 25-26 Version jugador,VINI JR,L,,,-$17.00 ,,Total Costo de disponibles, $379.48 ,,
2,7/2/2025,7/22/2025, $11.00 , $6.00 , $17.00 ,FC Barcelona 25-26 Version jugador,LAMINE YAMAL,L,11/6/2025, $29.58 , $12.58 ,,Ganancia promedio por jersey vendida, $16.81 ,,
2,7/2/2025,7/22/2025, $11.00 , $6.00 , $17.00 ,FC Barcelona 25-26 Version jugador,LAMINE YAMAL,Xl,9/3/2025, $32.20 , $15.20 ,,Ganancia esperada total," $3,211.33 ",,
2,7/2/2025,7/22/2025, $10.50 , $6.00 , $17.00 ,FC Barcelona 25-26 Version jugador,LAMINE YAMAL,L,8/6/2025, $32.25 , $15.25 ,,Ganancia por ganar,453.957,,
2,7/2/2025,7/22/2025, $10.50 , $6.00 , $16.50 ,FC Barcelona 25-26 Version jugador,LAMINE YAMAL,L,8/4/2025, $32.25 , $15.75 ,,Ventas por jersey apartadas,0,,
2,7/2/2025,7/22/2025, $11.00 , $6.00 , $16.50 ,FC Barcelona 25-26 Version jugador,LAMINE YAMAL,M,7/24/2025, $37.63 , $21.13 ,,Ganancia por jersey apartada, $-   ,,
3,7/11/2025,8/12/2025, $9.00 , $5.92 , $16.42 ,FC Barcelona 25-26 version jugador,Pedri,L,12/1/2025, $30.05 , $13.63 ,,,,,
3,7/11/2025,8/12/2025, $11.00 , $5.92 , $14.92 ,Monterrey mundial version jugador,Sergio Ramos,XL,11/19/2025, $32.69 , $17.77 ,,,,,
3,7/11/2025,8/12/2025, $8.00 , $5.92 , $17.92 ,FC Barcelona parche,,S,11/10/2025, $32.52 , $14.60 ,,,,,
3,7/11/2025,8/12/2025, $10.50 , $5.92 , $15.92 ,Conjunto Golden state,CURRY,XL,8/5/2025, $32.25 , $16.33 ,,,,,
3,7/11/2025,8/12/2025, $12.00 , $5.92 , $16.42 ,Real Madrid 25-26 Version jugador,VINI JR,XL,10/12/2025, $32.97 , $16.55 ,,,,,
3,7/11/2025,8/12/2025, $9.00 , $5.92 , $14.92 ,Cruz azul visitante 25/26,,M,10/1/2025, $27.22 , $12.30 ,,,,,
3,7/11/2025,8/12/2025, $9.00 , $5.92 , $14.92 ,MEXICO,,L,9/26/2025, $26.75 , $11.83 ,,,,,
3,7/11/2025,8/3/2025, $9.00 , $5.92 , $13.92 ,Conjunto FC Barcelona ni–o,Lamine Yamal,24,8/24/2025, $26.78 , $12.86 ,,,,,
3,7/11/2025,8/3/2025, $11.00 , $5.92 , $16.92 ,Conjunto FC Barcelona ni–o,Lamine Yamal,28,9/13/2025, $24.40 , $7.48 ,,,,,
3,7/11/2025,8/12/2025, $9.00 , $5.92 , $14.92 ,FC Barcelona 25-26 version jugador,Lamine Yamal,L,9/14/2025, $35.25 , $20.33 ,,,,,
3,7/11/2025,8/3/2025, $11.00 , $5.92 , $17.92 ,Conjunto Real Madrid nni–o,MBAPPƒ,28,10/6/2025, $24.46 , $6.54 ,,,,,
3,7/11/2025,8/12/2025, $9.00 , $5.92 , $14.92 ,PSG,,L,9/9/2025, $26.82 , $11.90 ,,,,,
3,7/11/2025,8/3/2025, $8.00 , $5.92 , $14.92 ,Conjunto Chicago bulls,JORDAN,L,10/13/2025, $21.66 , $6.74 ,,,,,
3,7/11/2025,8/3/2025, $8.00 , $5.92 , $16.92 ,Conjunto Golden state,CURRY,L,10/13/2025, $21.66 , $4.74 ,,,,,
3,7/11/2025,8/3/2025, $8.00 , $5.92 , $13.92 ,Conjunto Lakers,JAMES,XL,10/13/2025, $21.66 , $7.74 ,,,,,
3,7/11/2025,8/3/2025, $10.65 , $5.92 , $16.42 ,Conjunto inter miami ni–o,MESSI,22,10/19/2025, $21.67 , $5.25 ,,,,,
3,7/11/2025,8/3/2025, $8.00 , $5.92 , $17.92 ,Conjunto Golden state,CURRY,M,11/9/2025, $21.68 , $3.76 ,,,,,
3,7/11/2025,8/12/2025, $11.00 , $5.92 , $16.92 ,AC Milan 25/26,GIMENEZ,L,9/6/2025, $34.88 , $17.96 ,,,,,
3,7/11/2025,8/12/2025, $9.00 , $5.92 , $14.92 ,MEXICO,,XL,9/5/2025, $26.67 , $11.75 ,,,,,
3,7/11/2025,8/3/2025, $11.00 , $5.92 , $10.50 ,Conjunto FC Barcelona ni–o,Lamine Yamal,26,12/8/2025, $22.00 , $11.50 ,,,,,
3,7/11/2025,8/3/2025, $9.00 , $5.92 , $13.92 ,Conjunto inter miami ni–o,MESSI,24,,,-$13.92 ,,,,,
3,7/11/2025,8/12/2025, $12.00 , $5.92 , $13.92 ,Real Madrid 25-26 Version jugador,VINI JR,L,8/30/2025, $34.84 , $20.92 ,,,,,
3,7/11/2025,8/12/2025, $10.00 , $5.92 , $13.92 ,Real Madrid 25-26 Version jugador,MBAPPƒ,XL,21-Aug, $19.54 , $5.62 ,,,,=,
3,7/11/2025,8/12/2025, $12.00 , $5.92 , $16.57 ,Real Madrid Alternativa 25-26 Version jugador,MBAPPƒ,L,21-Aug, $19.54 , $2.97 ,,,,,
3,7/11/2025,8/12/2025, $12.00 , $5.92 , $13.92 ,Real Madrid 25-26 Version jugador,MBAPPƒ,XL,21-Aug, $19.54 , $5.62 ,,,,,
3,7/11/2025,8/12/2025, $8.00 , $5.92 , $16.92 ,Cruz azul local 25/26,,XL,8/17/2025, $24.14 , $7.22 ,,,,,
3,7/11/2025,8/12/2025, $10.50 , $5.92 , $14.92 ,America 25-26 Version jugador,HENRY,L,8/13/2025, $29.80 , $14.88 ,,,,,
3,7/11/2025,8/12/2025, $10.50 , $5.92 , $16.92 ,Inter miami version jugador,Messi,M,8/13/2025, $37.67 , $20.75 ,,,,,
3,7/11/2025,8/12/2025, $10.50 , $5.92 , $14.92 ,America 25-26 Version jugador,HENRY,L,8/13/2025, $34.98 , $20.06 ,,,,,
3,7/11/2025,8/3/2025, $10.50 ,, $17.92 ,Chelsea 2025/26,Cole Palmer,L,8/8/2025, $29.62 , $11.70 ,,,,,
3,7/11/2025,8/12/2025, $9.00 , $5.92 , $16.42 ,FC Barcelona 25-26 version jugador,Lewandowski,XL,1/16/2026, $22.71 , $6.29 ,,,,,
4,8/4/2025,8/24/2025, $10.50 , $5.33 , $-   ,FC Barcelona 25-26 Version jugador,,L,9/18/2025, $32.29 , $32.29 ,,,,,
